system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
531,1181.0,228.0,13.298725783120489,217.84361509888566,1.0,636.691371348258,-18.770699090736574,-44.93684094646994,1222.8902435302734,4.0,266.0,-18.765331629945837,-44.94896713912856,1.0020329284208414,LVd3,
532,1182.0576766519948,227.0,24.169281293481273,295.0485284174798,1.0,639.4722034412817,-18.753963426375737,-44.936357190685015,1222.8902435302734,4.0,266.02883832599736,-18.765331629945837,-44.94896713912856,1.4838629558594238,LVd3,
5846,1176.9074340590328,228.89790925266905,50.99761279458409,287.12041422440876,2.0,617.8909357337244,-18.759643950388757,-44.94568231872097,1222.7379144513257,3.6817824994766584,264.72693374502836,-18.765331629945837,-44.94896713912856,1.482801706091689,LVd3,
5824,1171.0648032883148,230.0,14.202167211033759,249.92582501468002,2.0,597.364227833236,-18.75704241964767,-44.95500331823067,1210.0252532958984,3.0,263.06480328831475,-18.765331629945837,-44.94896713912856,0.5441456253669996,LVd3,
533,1176.5093165548685,227.0907475776958,38.47511455055443,195.57641308304292,1.0,634.5681278491327,-18.705381443466234,-44.863460304023484,1204.6657104492188,4.0,269.9361534328255,-18.70686004869963,-44.84133482949036,1.3660322742793753,LVd3,
534,1186.4802151137226,226.04003624548275,62.215595977449254,175.3962714336268,1.0,660.0696224250156,-18.696567872179777,-44.86853456705326,1199.760063094563,4.017742056555821,270.8312172262555,-18.70686004869963,-44.84133482949036,2.2205719923219633,LVd3,
535,1178.5437463563396,227.0,29.761687646226626,199.1936858155075,1.0,643.429357818737,-18.699272011648546,-44.87809457625456,1201.2251553226902,4.0,268.63593658908485,-18.70686004869963,-44.84133482949036,1.726691779900445,LVd3,
6035,1184.3422949730875,226.0,24.112746791213983,110.73802770129097,2.0,655.9494541378971,-18.69947629708267,-44.88638507391736,1201.4976292616357,4.0,268.5855737432719,-18.70686004869963,-44.84133482949036,2.1240331529935936,LVd3,
536,1173.0,228.0,27.04317391876155,204.1666461098229,1.0,623.5572549213083,-18.712189073106092,-44.86470624757842,1204.6657104492188,4.0,269.8744758004835,-18.70686004869963,-44.84133482949036,1.0,LVd3,
5919,1181.2651024731647,227.13658761116267,56.562313083209276,303.33636454835715,2.0,636.2928200921764,-18.736809000980752,-44.92153668392765,1209.8258514404297,4.0,266.6967939147528,-18.765331629945837,-44.94896713912856,2.007612460831231,LVd3,
